,title,area,price_VND,location
0,"Prosper Plaza  DT50m2 giá 1.9 tỷ, DT65m2 gía 2.15",65 m² - 2 PN,"2,15 tỷ",Quận 12
1,"Căn Hộ Prosper Phan Văn Hớn Có Sổ Giá Chỉ 1,850 Tỷ",54 m² - 2 PN,"1,85 tỷ",Quận 12
2,"chuyên bán căn hộ sky9, 1,2,3pn giá từ 900tr > 3ty",53 m² - 2 PN,"1,6 tỷ",Quận 9 - Thành phố Thủ Đức
3,Căn hộ tẩng 33 River Gate Q.4  74m2. 2PN 2WC B3302,75 m² - 2 PN,"4,6 tỷ",Quận 4
4,DIAMOND RIVERSIDE MỚI CAO CẤP 3 PN 2.850 Tỷ,84 m² - 3 PN,"2,85 tỷ",Quận 8
5,CĂN HỘ DỰ ÁN CITY GATE 3  QUẬN 8,52 m² - 1 PN,"1,25 tỷ",Quận 8
6,Chung cư Quận 2 khoảng 70m² 2 PN,70 m² - 2 PN,2.000 đ,Quận 2
7,CĂN HỘ ĐẸP VIEW CÔNG VIÊN GIA ĐỊNH 88M2 GIÁ 5.6 TỶ,88 m² - 3 PN,"5,6 tỷ",Quận Phú Nhuận
8,BÁN CĂN HỘ 2 PHÒNG GIÁ TẦNG PHONG THUỶ GIÁ 4.27 TỶ,74 m² - 2 PN,"4,27 tỷ",Quận Tân Bình
9,Cắt lỗ căn 3PN view sông VinQ9 TT 900tr vào Ở Ngay,81.5 m² - 3 PN,"2,75 tỷ",Quận 9
10,Chung cư Dream Home Palace 61.75m² 2PN,61.75 m² - 2 PN,"1,673 tỷ",Quận 8
11,CĂN HỘ VƯỜN NHẬT ORIGAMI CĐT VINHOMES VAY100%,45.6 m² - 1 PN,"2,8 tỷ",Quận 9
12,Chung cư PiCity High Park 67m² 2PN,67 m² - 2 PN,39 triệu,Quận 12
13,"Chính chủ chuyển nhượng CC Quận 8 64m² 2PN, 2WC",64 m² - 2 PN,"1,65 tỷ",Quận 8
14,Chung cư Carillon 7 105m² 3PN,105 m² - 3 PN,"3,85 tỷ",Quận Tân Phú
15,Chung cư 67.61m² 2PN Q7 Sài Gòn Riverside Complex,67.61 m² - 2 PN,"2,55 tỷ",Quận 7
16,"HEAVEN, CHUNG CƯ QUẬN 8, GIÁ RẺ,Ở NGAY CÁCH Q1 15P",60 m² - 2 PN,"1,5 tỷ",Quận 8
17,Căn hộ CityGate 1 full nội thất lầu thấp,70 m² - 2 PN,"2,35 tỷ",Quận 8
18,CHUNG CƯ PICITY SMARTHOME 4.0 - TRẢ TRƯỚC CHỈ 760,65 m² - 2 PN,760 triệu,Quận 12
19,"Căn Hộ Cao Cấp The Pegasuite, 2PN, 3PN, NT Cao Cấp",60 m² - 2 PN,"2,35 tỷ",Quận 8
20,Chính chủ cần bán Chung cư Quận 8 62m² 2 PN,62 m² - 2 PN,"1,7 tỷ",Quận 8
21,Bán nhanh CH Lavita Charm rẻ bất ngờ mùa dịch,67 m² - 2 PN,"2,8 tỷ",Quận Thủ Đức
22,"Bán căn hộ trả góp, trả trước 790tr chia ra 5 đợt",58 m² - 2 PN,790 triệu,Quận 12
23,LAVITA CHARM 2PN-2WC CHỈ 2.5TỈ BAO PHÍ VIEW HỒ BƠI,68 m² - 2 PN,"2,6 tỷ",Quận Thủ Đức
24,BÁN NHANH 2PN - 76M2 - NỘI THẤT CAO CẤP -VIEW SÔNG,76 m² - 2 PN,"3,9 tỷ",Quận 2
0,"Prosper Plaza  DT50m2 giá 1.9 tỷ, DT65m2 gía 2.15",65 m² - 2 PN,"2,15 tỷ",Quận 12
1,"Căn Hộ Prosper Phan Văn Hớn Có Sổ Giá Chỉ 1,850 Tỷ",54 m² - 2 PN,"1,85 tỷ",Quận 12
2,"chuyên bán căn hộ sky9, 1,2,3pn giá từ 900tr > 3ty",53 m² - 2 PN,"1,6 tỷ",Quận 9 - Thành phố Thủ Đức
3,Căn hộ tẩng 33 River Gate Q.4  74m2. 2PN 2WC B3302,75 m² - 2 PN,"4,6 tỷ",Quận 4
4,DIAMOND RIVERSIDE MỚI CAO CẤP 3 PN 2.850 Tỷ,84 m² - 3 PN,"2,85 tỷ",Quận 8
5,CĂN HỘ DỰ ÁN CITY GATE 3  QUẬN 8,52 m² - 1 PN,"1,25 tỷ",Quận 8
6,Chung cư Quận 2 khoảng 70m² 2 PN,70 m² - 2 PN,2.000 đ,Quận 2
7,CĂN HỘ ĐẸP VIEW CÔNG VIÊN GIA ĐỊNH 88M2 GIÁ 5.6 TỶ,88 m² - 3 PN,"5,6 tỷ",Quận Phú Nhuận
8,BÁN CĂN HỘ 2 PHÒNG GIÁ TẦNG PHONG THUỶ GIÁ 4.27 TỶ,74 m² - 2 PN,"4,27 tỷ",Quận Tân Bình
9,Cắt lỗ căn 3PN view sông VinQ9 TT 900tr vào Ở Ngay,81.5 m² - 3 PN,"2,75 tỷ",Quận 9
10,Chung cư Dream Home Palace 61.75m² 2PN,61.75 m² - 2 PN,"1,673 tỷ",Quận 8
11,CĂN HỘ VƯỜN NHẬT ORIGAMI CĐT VINHOMES VAY100%,45.6 m² - 1 PN,"2,8 tỷ",Quận 9
12,Chung cư PiCity High Park 67m² 2PN,67 m² - 2 PN,39 triệu,Quận 12
13,"Chính chủ chuyển nhượng CC Quận 8 64m² 2PN, 2WC",64 m² - 2 PN,"1,65 tỷ",Quận 8
14,Chung cư Carillon 7 105m² 3PN,105 m² - 3 PN,"3,85 tỷ",Quận Tân Phú
15,Chung cư 67.61m² 2PN Q7 Sài Gòn Riverside Complex,67.61 m² - 2 PN,"2,55 tỷ",Quận 7
16,"HEAVEN, CHUNG CƯ QUẬN 8, GIÁ RẺ,Ở NGAY CÁCH Q1 15P",60 m² - 2 PN,"1,5 tỷ",Quận 8
17,Căn hộ CityGate 1 full nội thất lầu thấp,70 m² - 2 PN,"2,35 tỷ",Quận 8
18,CHUNG CƯ PICITY SMARTHOME 4.0 - TRẢ TRƯỚC CHỈ 760,65 m² - 2 PN,760 triệu,Quận 12
19,"Căn Hộ Cao Cấp The Pegasuite, 2PN, 3PN, NT Cao Cấp",60 m² - 2 PN,"2,35 tỷ",Quận 8
20,Chính chủ cần bán Chung cư Quận 8 62m² 2 PN,62 m² - 2 PN,"1,7 tỷ",Quận 8
21,Bán nhanh CH Lavita Charm rẻ bất ngờ mùa dịch,67 m² - 2 PN,"2,8 tỷ",Quận Thủ Đức
22,"Bán căn hộ trả góp, trả trước 790tr chia ra 5 đợt",58 m² - 2 PN,790 triệu,Quận 12
23,LAVITA CHARM 2PN-2WC CHỈ 2.5TỈ BAO PHÍ VIEW HỒ BƠI,68 m² - 2 PN,"2,6 tỷ",Quận Thủ Đức
24,BÁN NHANH 2PN - 76M2 - NỘI THẤT CAO CẤP -VIEW SÔNG,76 m² - 2 PN,"3,9 tỷ",Quận 2
0,2PN Vinhomes Quận 9 full nội thất được trả góp 80%,59 m² - 2 PN,440 triệu,Quận 9 - Thành phố Thủ Đức
1,BÁN GẤP CĂN HIM LAM CHỢ LỚN 102M2 3 PHÒNG NGỦ,102 m² - 3 PN,"4,5 tỷ",Quận 6
2,Chung cư 57m² 2PN 2WC Phường Bình Chiểu Thủ Đức,57 m² - 2 PN,"1,65 tỷ",Quận Thủ Đức - Thành phố Thủ Đức
3,"HEAVEN, CHUNG CƯ QUẬN 8, GIÁ RẺ,Ở NGAY CÁCH Q1 15P",60 m² - 2 PN,"1,5 tỷ",Quận 8
4,CĂN HỘ GIÁ TỐT PROSPER VIEW ĐẸP Ở NGAY - ĐÃ CÓ SỔ,65 m² - 2 PN,"2,15 tỷ",Quận 12
5,Căn Hộ Hoa Hậu tại The Pegasuite với TK 2 ban công,75 m² - 2 PN,"3,1 tỷ",Quận 8
6,"Bán lỗ gấp căn hộ SunriseCity South, 2PN , 106m2",106 m² - 2 PN,"4,05 tỷ",Quận 7
7,Chung cư Quận 12 45m² 2 PN,2 PN,"1,9 tỷ",Quận 12
8,Bán Gắp The Gold View 50m² 1 PN đang kẹt Tiền,50 m² - 1 PN,3 tỷ,Quận 4
9,CĂN HỘ NGAY UBND BÌNH CHÁNH 5 MẶT TIỀN CHỈ 660TR,59 m² - 2 PN,"2,2 tỷ",Huyện Bình Chánh
10,"Chung cư Q12 68m2,2PN,2WC, Giảm 50tr mua mùa dịch",68 m² - 2 PN,"1,55 tỷ",Quận 12
11,Bán Nhanh Căn Hộ 2PN The Sun Avenue,75 m² - 2 PN,"3,9 tỷ",Quận 2
12,Bán CC arillon 7 86m² 3PN rẻ hơn thị trường 100tr,86 m² - 3 PN,"3,1 tỷ",Quận Tân Phú
13,mua nhà sài gòn 600tr? có hồ bơi và công viên,65 m² - 2 PN,600 triệu,Huyện Bình Chánh
14,Chung cư Hồ Văn Huê Phú Nhuận 2PN,54 m² - 2 PN,"2,67 tỷ",Quận Phú Nhuận
15,Bán căn hộ 2PN +1 WC Lovera Vista nhận nhà ở ngay,52 m² - 2 PN,"1,7 tỷ",Huyện Bình Chánh
16,Chính chủ bán lỗ căn Citi Grand Q2,60 m² - 2 PN,"2,295 tỷ",Quận 2
17,"Căn hộ Millennium 74m² 2PN VIEW BITEXCO, HỒ BƠI",74 m² - 2 PN,"5,99 tỷ",Quận 4
18,cần bán gấp chính chủ ký bán,48 m² - 2 PN,"1,6 tỷ",Huyện Bình Chánh
19,Chính chủ cắt lỗ cănhộ 1PN+ VinhomesGrandPark 47m2,47 m² - 2 PN,"1,293 tỷ",Quận 9
20,Chung cư Saigonhomes 75m² 3 PN 2 WC,75 m² - 3 PN,"2,03 tỷ",Quận Bình Tân
21,"Căn hộ Ngô Tất Tố 2PN-1Toliet,66m2 Full NT P19 BT.",66 m² - 2 PN,"2,75 tỷ",Quận Bình Thạnh
22,Chung cư Saigon Homes Bình Tân 70m² 2PN 2WC,70 m² - 2 PN,"1,85 tỷ",Quận Bình Tân
23,CĂN HỘ CENTUM WEATH 2PN-2WC GIÁ 2.6TỈ FULL PHÍ,68 m² - 2 PN,"2,6 tỷ",Quận 9
24,LAVITA CHARM 2.1TỈ-1PN-2WC BAO PHÍ,51 m² - 1 PN,"2,1 tỷ",Quận Thủ Đức
0,BÁN OFFICÊTEL 1PN LAVITA CHARM GIÁ 1.7TỈ THÔI Ợ,51 m² - 2 PN,"1,7 tỷ",Quận Thủ Đức
1,9 VIEW CHỈ CẦN 700TR NHẬN NGAY CĂN 2PN VIEW LANMAR,65 m² - 2 PN,"1,4 tỷ",Quận 9
2,Căn Shop-House Mặt tiền nhựa 12m Kinh Doanh SHR,87 m² - 2 PN,"2,9 tỷ",Quận 12
3,Chung cư Topaz Home 70m² 3PN,70 m² - 3 PN,"2,1 tỷ",Quận 12
4,Chung cư Quận Bình Tân 70m² 2 PN hàng CĐT mới 100%,70 m² - 2 PN,"2,03 tỷ",Quận Bình Tân
5,CHÍNH CHỦ BÁN NHANH CĂN 2PN 67M2 GIÁ 2TỶ650TRIỆU,68 m² - 2 PN,"2,6 tỷ",Quận Thủ Đức
6,Chung cư Moonlight Residences 51m² 1PN 2.3tỉ,51 m² - 1 PN,"2,3 tỷ",Quận Thủ Đức
7,TỔNG HỢP CÁC CĂN 2PN-2WC TẠI 9VIEW TỪ 1.4TỈ BP,58 m² - 2 PN,"1,4 tỷ",Quận 9
8,"Chung cư Hưng Ngân Garden chính chủ, 69m2 2PN, 2WC",69 m² - 2 PN,"1,85 tỷ",Quận 12
9,GẦN METRO BÌNH THÁI LAVITA CHARM 3PN 87M2- 3.5TỶ,87 m² - 3 PN,"3,5 tỷ",Quận Thủ Đức
10,Chính chủ giá tốt Richstar Rs7,91 m² - 3 PN,"3,75 tỷ",Quận Tân Phú
11,LAVITA CHARM 2PN-2WC VIEW HỒ BƠI GIÁ 2.6TỈ Ạ,68 m² - 2 PN,"2,6 tỷ",Quận Thủ Đức
12,CĂN HỘ TÔ KÝ TOWER 61m² 2PN Sổ Hồng Riêng 1 Tỷ 800,61 m² - 2 PN,"1,8 tỷ",Quận 12
13,"Căn hộ đủ cho gia đình, Thạnh Lộc 27, Quận 12, HCM",43 m² - 2 PN,"1,2 tỷ",Quận 12
14,1PN 50M2 TẠI TẦNG 9 BÁN GIÁ MỀM NHẤT LAVITA CHARM,50 m² - 1 PN,"1,95 tỷ",Quận Thủ Đức
15,"Căn Hộ Xi Grand Court Quận 10, 105m² ,3PN 3WC",105 m² - 3 PN,"6,55 tỷ",Quận 10
16,Bán Gấp Căn Góc View Đông Nam Lavita Charm ở ngay,68 m² - 2 PN,"2,75 tỷ",Quận Thủ Đức
17,Chung cư tại Gò Vấp giá rất rẻ 77m2 2.2 tỷ,77 m² - 2 PN,"2,2 tỷ",Quận Gò Vấp
18,9 VIEW GIÁ BÁN RẺ RỀ TẠI KHU QUẬN 9 CHỈ 1.4TỈ Ạ,58 m² - 2 PN,"1,4 tỷ",Quận 9
19,Chung cư Carillon 7 66m² 2 PN View hướng Nam,66 m² - 2 PN,"2,5 tỷ",Quận Tân Phú
0,Sang nhượng căn 80.43m2 3pn giá tốt,80.43 m² - 3 PN,"2,09 tỷ",Quận 8
1,CH Duplex Celadon City 191m² 1T1L 4PN 37.5tr/Mét,191 m² - 4 PN,"37,5 triệu",Quận Tân Phú
2,"🍅Mới chưa ở ,coi bóng đá trên thiên đàng VINHOMES",51 m² - 1 PN,"1,95 tỷ",Quận 9
3,BÁN GẤP CĂN 2PN - 2 PN AKARI CITY GIÁ CỰC TỐT,56 m² - 2 PN,"2,15 tỷ",Quận Bình Tân
4,CẬP NHẬT GIỎ HÀNG BÁN DỰ ÁN MASTERI THẢO ĐIỀN,68 m² - 2 PN,"4,15 tỷ",Quận 2
5,"Căn hộ The Gold View cửa hướng Tây Bắc, 2 PN",65 m² - 2 PN,"3,4 tỷ",Quận 4
6,Chung cư Quận 9 - Thành phố Thủ Đức,60 m² - 2 PN,500 triệu,Quận 9
